Source,Target,Type,year,make
Jianwei Zhang,educational psychology,Undirected,2009,20
Jianwei Zhang,Educational Theory and Practice,Undirected,2009,30
Marlene Scardamalia,English,Undirected,2009,0
Marlene Scardamalia,Educational Research-Educational Psychology,Undirected,2009,10
Marlene Scardamalia,Applied Psychology,Undirected,2009,20
Marlene Scardamalia,"Curriculum, Teaching, and Learning",Undirected,2009,30
Richard Reeve,Education,Undirected,2009,0
Richard Reeve,Education,Undirected,2009,10
Richard Reeve,Education,Undirected,2009,30
Richard Messina,Art,Undirected,2009,0
Richard Messina,English Specialist,Undirected,2009,0
Richard Messina,Education,Undirected,2009,10
Richard Messina,Primary Junior,Undirected,2009,20
Richard Messina,Institute of child study,Undirected,2009,30
Wolff-Michael Roth,Physics,Undirected,2009,0
Wolff-Michael Roth,Mathematics,Undirected,2009,0
Wolff-Michael Roth,Chemistry,Undirected,2009,10
Wolff-Michael Roth,School of Science and Technology,Undirected,2009,20
Wolff-Michael Roth,Applied Cognitive Science,Undirected,2009,30
Jennifer S. Thom,"Elementary Education,Concentration:Mathematics",Undirected,2009,0
Jennifer S. Thom,Curriculum Studies,Undirected,2009,10
Jennifer S. Thom,Mathematics Education,Undirected,2009,20
Jennifer S. Thom,curriculum and instruction,Undirected,2009,30
Elizabeth A. van Es,English,Undirected,2009,0
Elizabeth A. van Es,Education,Undirected,2009,10
Elizabeth A. van Es,Learning Sciences,Undirected,2009,20
Elizabeth A. van Es,Education,Undirected,2009,30
Andrew Elby,Philosophy,Undirected,2009,0
Andrew Elby,Physics,Undirected,2009,10
Andrew Elby,Philosophy of Physics,Undirected,2009,20
Andrew Elby,"Teaching and learning,Policy and leadership",Undirected,2009,30
William A. Sandoval,Computer Science,Undirected,2009,0
William A. Sandoval,Learning Science,Undirected,2009,20
William A. Sandoval,Education,Undirected,2009,30
Ming Ming Chiu,computer science,Undirected,2009,0
Ming Ming Chiu,interactive technology,Undirected,2009,10
Ming Ming Chiu,education,Undirected,2009,20
Ming Ming Chiu,Special Education and Counselling,Undirected,2009,30
Paul Cobb,Mathematics,Undirected,2009,0
Paul Cobb,Mathematics Education,Undirected,2009,10
Paul Cobb,Mathematics Education,Undirected,2009,20
Paul Cobb,Teaching and Learning,Undirected,2009,30
Qing Zhao,Economics,Undirected,2009,0
Qing Zhao,Philosophy,Undirected,2009,10
Qing Zhao,Mathematics Education,Undirected,2009,20
Qing Zhao,Education Management Professional,Undirected,2009,30
Chrystal Dean,Mathematics,Undirected,2009,0
Chrystal Dean,Secondary Education,Undirected,2009,0
Chrystal Dean,Instructional Technology,Undirected,2009,10
Chrystal Dean,Mathematics Education,Undirected,2009,20
Chrystal Dean,Curriculum and Instruction,Undirected,2009,30
Timothy Koschmann,Philosophy,Undirected,2009,0
Timothy Koschmann,Psychology,Undirected,2009,10
Timothy Koschmann,Computer Science,Undirected,2009,20
Timothy Koschmann,Medical Education,Undirected,2009,30
Alan Zemel,Regional Science,Undirected,2009,0
Alan Zemel,Regional Science,Undirected,2009,10
Alan Zemel,Rhetoric and Communication,Undirected,2009,20
Alan Zemel,Culture and Commucation,Undirected,2009,30
Alan Zemel,Communication,Undirected,2009,30
Indigo Esmonde,Mathematics,Undirected,2009,0
Indigo Esmonde,Mathematics,Undirected,2009,10
Indigo Esmonde,"Cognition and Development, Graduate School of Education",Undirected,2009,10
Indigo Esmonde,Mathematics,Undirected,2009,20
Indigo Esmonde,"Curriculum,Teaching and Learning",Undirected,2009,30
Vandana Thadani,Psychology,Undirected,2009,30
Ronald H.Stevens,Medicine,Undirected,2009,30
Annie Tao,Psychology,Undirected,2009,30
Melissa Sommerfeld Gresalfi,French,Undirected,2009,0
Melissa Sommerfeld Gresalfi,Psychology,Undirected,2009,0
Melissa Sommerfeld Gresalfi,Education,Undirected,2009,10
Melissa Sommerfeld Gresalfi,Educational Psychology,Undirected,2009,20
Melissa Sommerfeld Gresalfi,Teaching and Learning,Undirected,2009,30
Edd V. Taylor,Psychology,Undirected,2009,0
Edd V. Taylor,Cognition and Development in Education,Undirected,2009,10
Edd V. Taylor,Cognition and Development in Education,Undirected,2009,20
Edd V. Taylor,Math and Science Education,Undirected,2009,30
Katherine L. McNeill,English and American Literature,Undirected,2009,0
Katherine L. McNeill,Biology,Undirected,2009,0
Katherine L. McNeill,Science Education,Undirected,2009,10
Katherine L. McNeill,Ecology and Evoluyionary Biology,Undirected,2009,10
Katherine L. McNeill,Science Education,Undirected,2009,20
Katherine L. McNeill,Lynch School of Education,Undirected,2009,30
Joseph Krajcik,Science Education,Undirected,2009,20
Joseph Krajcik,Teacher Education,Undirected,2009,30
William R. Penuel,Psychology,Undirected,2009,0
William R. Penuel,Human Development and Psychology,Undirected,2009,10
William R. Penuel,Developmental Psychology,Undirected,2009,20
William R. Penuel,Education,Undirected,2009,30
Lawrence P. Gallagher,Computer Science,Undirected,2009,0
Lawrence P. Gallagher,Statistics,Undirected,2009,10
Lawrence P. Gallagher,Education,Undirected,2009,20
Lawrence P. Gallagher,Institutional Research and Decision Support,Undirected,2009,30
Rolf Reber,Cognitive Psychology,Undirected,2009,20
Rolf Reber,Education,Undirected,2009,30
Rolf Reber,Psychology,Undirected,2009,30
Hilde Hetland,Psychology,Undirected,2009,30
Weiqin Chen,Computer Science,Undirected,2009,20
Weiqin Chen,Science of Learning and Technology,Undirected,2009,30
Elisabeth Norman,Psychology,Undirected,2009,20
Elisabeth Norman,Psychosocial Science,Undirected,2009,30
Therese Kobbeltvedt,Psychology,Undirected,2009,0
Therese Kobbeltvedt,Psychology,Undirected,2009,10
Therese Kobbeltvedt,Psychology,Undirected,2009,20
Therese Kobbeltvedt,Strategy and Management,Undirected,2009,30
Andrew Izsák,Mathematics,Undirected,2009,0
Andrew Izsák,General Education,Undirected,2009,10
Andrew Izsák,Science and Mathematics Education,Undirected,2009,20
Andrew Izsák,Education,Undirected,2009,30
Günhan Çağlayan,Mathematics and Science Education,Undirected,2009,30
John Olive,Mathematics Education,Undirected,2009,20
John Olive,Mathematics and Science Education,Undirected,2009,30
